feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
user_followers_count,anthropic,neutral,author_post,0.06443015965047774,0.009068821376106128,0.7921845949535192,953,200,753
user_friends_count,anthropic,neutral,author_post,0.08810964618686026,0.016482658560550388,0.7921845949535192,953,200,753
user_statuses_count,anthropic,neutral,author_post,0.05193534256104329,0.006955648671471469,0.7921845949535192,953,200,753
user_favourites_count,anthropic,neutral,author_post,0.05873964626331596,0.010428009590274099,0.7921845949535192,953,200,753
favorite_count,anthropic,neutral,author_post,0.0718535190825748,0.01263169267082718,0.7921845949535192,953,200,753
retweet_count,anthropic,neutral,author_post,0.0772750961296038,0.01546717759310125,0.7921845949535192,953,200,753
retweeted,anthropic,neutral,author_post,0.01326148848019498,0.0024428357732932024,0.7921845949535192,953,200,753
author_gender,anthropic,neutral,none,0.017567789712606707,0.005692110132897138,0.7537499999999999,984,200,784
author_partisanship,anthropic,neutral,none,0.019309464886044035,0.0021187030984419074,0.7537499999999999,984,200,784
author_ideology,anthropic,neutral,none,0.026075042569702087,0.003852720896624739,0.7537499999999999,984,200,784
author_race,anthropic,neutral,none,0.028461221630419753,0.0054636199188469485,0.7537499999999999,984,200,784
author_age,anthropic,neutral,none,0.02015578643579373,0.003036041330258334,0.7537499999999999,984,200,784
author_education,anthropic,neutral,none,0.015722671115682235,0.004816057330187637,0.7537499999999999,984,200,784
author_income,anthropic,neutral,none,0.028765551393052497,0.007760594824504404,0.7537499999999999,984,200,784
author_marital_status,anthropic,neutral,none,0.015397691392524584,0.0025511716549242026,0.7537499999999999,984,200,784
author_religiosity,anthropic,neutral,none,0.022548577186680623,0.0032840698134617412,0.7537499999999999,984,200,784
sentiment_polarity,anthropic,neutral,none,0.07497794794935433,0.010180388977720879,0.7537499999999999,984,200,784
sentiment_subjectivity,anthropic,neutral,none,0.08031711660586488,0.009601938102462817,0.7537499999999999,984,200,784
polarization_score,anthropic,neutral,none,0.07455530186371637,0.008543406004148959,0.7537499999999999,984,200,784
primary_topic,anthropic,neutral,none,0.062314725769937865,0.009445364334899096,0.7537499999999999,984,200,784
toxicity,anthropic,neutral,none,0.07879064437152453,0.010124912598547912,0.7537499999999999,984,200,784
user_followers_count,anthropic,neutral,none,0.07047920113136893,0.009142000945075654,0.7537499999999999,984,200,784
user_friends_count,anthropic,neutral,none,0.06644879921916971,0.007944495193411914,0.7537499999999999,984,200,784
user_statuses_count,anthropic,neutral,none,0.06861206179695495,0.012800220459618473,0.7537499999999999,984,200,784
user_favourites_count,anthropic,neutral,none,0.05953172829107322,0.008807090115093383,0.7537499999999999,984,200,784
favorite_count,anthropic,neutral,none,0.06822513739017556,0.007188168707581683,0.7537499999999999,984,200,784
retweet_count,anthropic,neutral,none,0.08493437992584309,0.01678982084712562,0.7537499999999999,984,200,784
retweeted,anthropic,neutral,none,0.016809159362510276,0.005915500136735009,0.7537499999999999,984,200,784
author_gender,anthropic,neutral,post,0.016819909319681376,0.0026458225471172807,0.7983909574468085,952,200,752
