feature,provider,prompt_style,context_level,bias,p_value,metric,significant
author_partisanship,openai,popular,author,0.02921178338764602,0.6557531616928403,Cramér's V,False
author_ideology,openai,popular,author,0.12591037512877692,0.0034815239324833547,Cramér's V,True
author_race,openai,popular,author,0.10258521675573887,0.034088630375625456,Cramér's V,True
author_age,openai,popular,author,0.06358676419191513,0.5495886579275694,Cramér's V,False
author_education,openai,popular,author,0.018640888391576543,0.8421221491151516,Cramér's V,False
author_income,openai,popular,author,0.07023782744001769,0.29993058376329435,Cramér's V,False
author_marital_status,openai,popular,author,0.06741969305645841,0.10564110586693504,Cramér's V,False
author_religiosity,openai,popular,author,0.03658838447539762,0.7234458537842605,Cramér's V,False
sentiment_polarity,openai,popular,author,0.06294510116496448,0.4267512405108294,Cohen's d,False
sentiment_subjectivity,openai,popular,author,0.0649686527949121,0.4120424767567369,Cohen's d,False
polarization_score,openai,popular,author,0.06442028133793257,0.41599843481828075,Cohen's d,False
primary_topic,openai,popular,author,0.10731267717010072,0.6552162554724401,Cramér's V,False
toxicity,openai,popular,author,0.016369916787649968,0.8362268185451106,Cohen's d,False
user_followers_count,openai,popular,author,0.03541098149585948,0.6547607577329061,Cohen's d,False
user_friends_count,openai,popular,author,0.004409002235047882,0.955598152023267,Cohen's d,False
user_statuses_count,openai,popular,author,0.046257562421013546,0.5591500131701159,Cohen's d,False
user_favourites_count,openai,popular,author,0.07059043151812859,0.37279042035671783,Cohen's d,False
favorite_count,openai,popular,author,0.11677528150558623,0.14051843247132983,Cohen's d,False
retweet_count,openai,popular,author,0.10955276656266641,0.16672730753766987,Cohen's d,False
retweeted,openai,popular,author,0.07404202445913664,0.34988166870284315,Cohen's d,False
author_gender,openai,popular,author_post,0.07193565793428965,0.07819427063896728,Cramér's V,False
author_partisanship,openai,popular,author_post,0.09576920587337001,0.010920840520826206,Cramér's V,True
author_ideology,openai,popular,author_post,0.06911678904924276,0.31887381391082603,Cramér's V,False
author_race,openai,popular,author_post,0.0802309736003518,0.1751247810362548,Cramér's V,False
author_age,openai,popular,author_post,0.10549311418391408,0.052141349077207445,Cramér's V,False
author_education,openai,popular,author_post,0.020144349587261218,0.8188503382601009,Cramér's V,False
author_income,openai,popular,author_post,0.06573393951018412,0.3724499462742305,Cramér's V,False
author_marital_status,openai,popular,author_post,0.035288039801731536,0.5415696842510237,Cramér's V,False
